level,total_levels,n_minima_in_this_level,minima_indices,energy
1,4,102,"9,14,20,22,28,32,34,37,40,44,47,52,54,58,62,66,68,71,75,80,83,85,88,91,95,100,102,105,109,112,115,118,121,129,133,137,140,143,148,152,155,157,160,163,167,169,172,174,178,182,186,188,190,192,197,201,207,210,212,216,220,223,226,233,236,240,245,249,255,258,262,264,269,274,278,283,287,292,298,302,305,307,311,316,321,328,330,336,338,342,344,346,351,355,361,364,366,369,371,373,375,381",0.583672030305773
2,4,14,"40,55,88,102,133,160,172,197,228,245,278,298,344,360",0.5972974236782743
3,4,2,"82,331",0.5874946883449319
4,4,0,none,0.5964679518759264
