Index,Energy_Value,Minima_Indices
0,0.583672030305773,0
1,0.6739767623306633,0
2,0.7327115473875029,0
3,0.7203984719659483,0
4,0.7083785650068124,0
5,0.6966414793878902,0
6,0.5928609328626915,0
7,0.39763441296487917,0
8,0.37059078597407547,0
9,0.35289327068660875,1
10,0.35289327068660875,0
11,0.5165223577744449,0
12,0.7203984719659483,0
13,0.799074226607566,0
14,0.6523306842422997,1
15,0.8587097301258724,0
16,0.8431964403592892,0
17,0.7851210478997577,0
18,0.7582611788872315,0
19,0.6418684131662558,0
20,0.6216261930408736,1
21,0.7203984719659461,0
22,0.6216261930408736,1
23,0.6851773492484758,0
24,0.7327115473875067,0
25,0.7715211142225245,0
26,0.6316360821138649,0
27,0.5836720303057754,0
28,0.5323222807229897,1
29,0.5658568110627701,0
30,0.7851210478997577,0
31,0.5746725896572453,0
32,0.5088481094851462,1
33,0.6118315703995563,0
34,0.4745380259057703,1
35,0.5300454834448919,0
36,0.7327115473875023,0
37,0.5836720303057722,1
38,0.6118315703995563,0
39,0.6523306842422997,0
40,0.39763441296487917,1
41,0.45686569476202427,0
42,0.7273699651256956,0
43,0.5550531466108231,0
44,0.5404568945182799,1
45,0.68517734924848,0
46,0.6418684131662594,0
47,0.4795592352801374,1
48,0.708378565006808,0
49,0.68517734924848,0
50,0.6216261930408701,0
51,0.5323222807229954,0
52,0.2473386638437614,1
53,0.5404010130503988,0
54,0.4737967977112886,1
55,0.6022453439846531,0
56,0.4939299445863334,0
57,0.4527310450922768,0
58,0.290498987078747,1
59,0.48299733497152814,0
60,0.6418684131662594,0
61,0.8587097301258779,0
62,0.5323222807229897,1
63,0.8587097301258779,0
64,0.6493175500222248,0
65,0.6146084743385176,0
66,0.6022453439846531,1
67,0.6966414793878974,0
68,0.6966414793878809,1
69,0.7453286493626726,0
70,0.7083785650068248,0
71,0.5323222807229839,1
72,0.6316360821138685,0
73,0.7582611788872315,0
74,0.6022453439846531,0
75,0.47256984484484127,1
76,0.5746725896572453,0
77,0.6216261930408701,0
78,0.7582611788872315,0
79,0.7867476860022189,0
80,0.49306780569548725,1
81,0.548754200589482,0
82,0.4502662585312466,0
83,0.3106780888125039,1
84,0.7582611788872315,0
85,0.5165223577744393,1
86,0.5746725896572453,0
87,0.5389321674930304,0
88,0.3986829321984067,1
89,0.4942454311324787,0
90,0.5734020807698055,0
91,0.3659463242647538,1
92,0.5658568110627639,0
93,0.673976762330674,0
94,0.6966414793878809,0
95,0.501318658333387,1
96,0.5088481094851517,0
97,0.548754200589482,0
98,0.5928609328626889,0
99,0.472569844844851,0
100,0.14493764138346274,1
101,0.45581269639311545,0
102,0.42990257312535135,1
103,0.6118315703995495,0
104,0.4458384919519925,0
105,0.35536314369925653,1
106,0.47955923528013245,0
107,0.6216261930408701,0
108,0.7083785650068248,0
109,0.6966414793878809,1
110,0.8431964403592946,0
111,0.7715211142225197,0
112,0.673976762330674,1
113,0.708378565006808,0
114,0.8280968383198097,0
115,0.7492535451709076,1
116,0.8089709442292555,0
117,0.858709730125889,0
118,0.68517734924848,1
119,0.7582611788872315,0
120,0.7327115473874936,0
121,0.7203984719659504,1
122,0.7990742266075735,0
123,0.708378565006808,0
124,0.6022453439846531,0
125,0.548754200589482,0
126,0.5323222807229839,0
127,0.4149514245337802,0
128,0.30274921037785263,0
129,0.12411127160869694,1
130,0.12411127160869982,0
131,0.35218549835634466,0
132,0.46329269128103084,0
133,0.4589654956047309,1
134,0.5658568110627762,0
135,0.9096178400506253,0
136,0.6954855654716512,0
137,0.6118315703995768,1
138,0.6316360821138397,0
139,0.685177349248496,0
140,0.6523306842422846,1
141,0.7203984719659677,0
142,0.6316360821138685,0
143,0.5243456205936273,1
144,0.6523306842422846,0
145,0.6316360821138685,0
146,0.546574550714744,0
147,0.4958433629499754,0
148,0.43937437418071534,1
149,0.459041248463632,0
150,0.708378565006808,0
151,0.7318361971815852,0
152,0.4800553805529512,1
153,0.6118315703995768,0
154,0.38802915518425757,0
155,0.3744064699053851,1
156,0.6523306842422846,0
157,0.501318658333387,1
158,0.5165223577744504,0
159,0.501318658333387,0
160,0.37050832360982244,1
161,0.5374315257724435,0
162,0.49676178438676283,0
163,0.40331133962244736,1
164,0.6630307342064391,0
165,0.621626193040856,0
166,0.5836720303057916,0
167,0.4404966554372164,1
168,0.5558061137087811,0
169,0.5443685992907097,1
170,0.5617413465243664,0
171,0.5323222807229839,0
172,0.18930172450426477,1
173,0.5252063085177032,0
174,0.2864437482710605,1
175,0.3788095691260292,0
176,0.3705907859740856,0
177,0.30931765396348443,0
178,0.2808133031746784,1
179,0.5088481094851407,0
180,0.6739767623306583,0
181,0.8045178996158336,0
182,0.740456879516844,1
183,0.8416716020745373,0
184,0.7595692591320946,0
185,0.7327115473874757,0
186,0.7203984719659677,1
187,0.9804655498090858,0
188,0.843196440359273,1
189,0.9079090205284941,0
190,0.8746539446081535,1
191,0.9079090205284941,0
192,0.8280968383198097,1
193,0.9252594949216668,0
194,0.8280968383198097,0
195,0.7327115473875112,0
196,0.6316360821138685,0
197,0.5243456205936273,1
198,0.6851773492484637,0
199,0.6216261930408842,0
200,0.40331133962244736,0
201,0.36036032863182316,1
202,0.36543559457895386,0
203,0.501318658333387,0
204,0.6966414793878974,0
205,0.8622867830565052,0
206,0.8474459901626965,0
207,0.8355446144057613,1
208,0.8746539446081996,0
209,0.858709730125889,0
210,0.8133945942287119,1
211,0.961514217534318,0
212,0.8746539446081996,1
213,0.9252594949216668,0
214,0.9252594949216668,0
215,0.9079090205284455,0
